ChargerID,Sessions,TotalDemand,AverageDemand,AverageDuration,UniqueUsers,Location,ChargerCompany,ChargerType
573,674,8737.48,12.96,158.89,73,market,1,0
25,658,9484.49,14.41,134.58,68,hotel,1,0
163,648,11005.87,16.98,161.82,60,resort,1,0
273,576,9433.78,16.38,155.01,54,resort,1,0
95,576,8900.14,15.45,145.01,56,hotel,1,0
29,557,8135.15,14.61,139.99,12,resort,1,0
3,549,7701.15,14.03,140.75,13,company,1,0
30,530,8568.47,16.17,168.91,37,resort,1,0
33,513,8164.31,15.91,200.41,28,apartment,1,0
19,509,10976.55,21.56,202.96,46,resort,1,0
13,506,8125.23,16.06,207.5,25,apartment,1,0
42,489,6708.22,13.72,136.04,48,hotel,1,0
18,487,6365.4,13.07,125.22,22,hotel,1,0
20,486,7586.61,15.61,158.26,17,resort,1,0
69,482,8052.75,16.71,193.77,27,apartment,1,0
287,461,10884.0,23.61,222.49,6,apartment,1,0
64,460,7488.3,16.28,186.11,29,apartment,1,0
123,451,7570.35,16.79,206.72,27,apartment,1,0
59,449,9483.35,21.12,206.74,4,apartment,1,0
9,447,6619.36,14.81,143.42,12,hotel,1,0
327,443,3982.73,8.99,121.55,82,market,1,0
320,427,10294.49,24.11,230.35,25,camping,1,0
431,427,10353.58,24.25,232.13,22,camping,1,0
264,425,5897.27,13.88,124.3,7,hotel,1,0
66,424,7444.33,17.56,174.07,33,resort,1,0
1,404,5790.57,14.33,149.09,46,hotel,1,0
5,402,9424.57,23.44,211.03,7,apartment,1,0
80,394,7181.01,18.23,157.6,7,public area,1,0
260,393,9542.07,24.28,284.99,13,public institution,1,0
375,390,10585.07,27.14,298.26,17,apartment,1,0
370,389,7484.25,19.24,193.75,17,apartment,1,0
173,387,4693.52,12.13,143.12,11,public area,1,0
21,375,7673.9,20.46,207.32,6,apartment,1,0
52,354,7167.1,20.25,217.9,10,apartment,1,0
430,353,9664.29,27.38,262.11,19,camping,1,0
433,350,9292.44,26.55,256.48,22,camping,1,0
513,348,4254.2,12.22,163.11,13,public area,1,0
291,336,8397.61,24.99,308.58,11,public institution,1,0
140,333,7413.51,22.26,224.37,7,apartment,1,0
236,330,3547.98,10.75,103.3,3,market,1,0
22,328,5259.5,16.04,162.64,13,hotel,1,0
270,322,4521.04,14.04,131.17,15,company,1,0
374,310,7899.59,25.48,248.23,22,apartment,1,0
154,309,7312.12,23.66,231.26,14,public area,1,0
126,302,6025.3,19.95,188.25,3,resort,1,0
177,301,7004.74,23.27,208.22,6,apartment,1,0
200,297,7230.5,24.35,241.79,7,apartment,1,0
116,294,6031.68,20.52,197.82,12,company,1,0
211,285,6610.82,23.2,208.62,9,company,1,0
190,284,3790.94,13.35,123.37,13,company,1,0
300,278,4740.2,17.05,164.24,11,hotel,0,0
373,271,7754.06,28.61,274.8,19,apartment,1,0
303,269,4927.1,18.32,185.12,8,resort,0,0
512,268,4597.2,17.15,208.29,11,public area,1,0
182,263,2783.62,10.58,97.71,13,company,0,0
34,249,6247.8,25.09,256.71,5,restaurant,1,0
262,248,3463.49,13.97,134.58,4,restaurant,1,0
376,244,6735.69,27.61,250.24,21,apartment,1,0
371,241,5033.93,20.89,204.8,17,apartment,1,0
284,237,4558.9,19.24,191.29,10,resort,0,0
16,237,3270.5,13.8,179.41,3,apartment,1,0
329,237,3429.28,14.47,129.14,13,company,1,0
214,232,6502.36,28.03,261.12,11,public area,1,0
232,229,5322.6,23.24,242.57,4,apartment,1,0
37,228,3776.9,16.57,196.52,5,company,1,0
308,226,2178.4,9.64,86.41,23,company,1,0
44,226,2656.8,11.76,152.85,6,apartment,1,0
46,225,4198.44,18.66,175.46,4,hotel,1,0
82,224,4164.43,18.59,183.72,5,apartment,1,0
224,221,2203.96,9.97,131.65,2,public area,1,0
377,221,8107.34,36.68,369.36,11,public area,1,0
26,221,5943.66,26.89,241.68,5,public area,1,0
118,220,5251.2,23.87,241.95,2,public institution,1,0
244,215,3032.17,14.1,126.44,11,company,1,0
238,214,5137.81,24.01,251.69,15,public area,1,0
306,213,2390.02,11.22,101.75,15,apartment,1,0
304,205,3675.2,17.93,176.72,9,resort,0,0
102,204,3125.17,15.32,135.12,8,hotel,1,0
372,203,6099.92,30.05,313.42,12,apartment,1,0
334,203,2492.65,12.28,110.01,13,apartment,1,0
83,201,5375.05,26.74,236.68,7,public area,1,0
580,201,2150.67,10.7,97.19,15,apartment,1,0
164,198,2299.55,11.61,120.42,7,resort,1,0
100,197,3622.18,18.39,186.14,12,company,1,0
230,197,3204.35,16.27,164.37,4,public area,1,0
579,195,2094.4,10.74,97.47,14,apartment,1,0
89,192,4083.48,21.27,199.05,35,resort,1,0
87,191,4042.63,21.17,201.22,38,resort,1,0
117,191,2174.76,11.39,104.58,10,public area,1,0
168,190,3347.32,17.62,162.06,8,public area,1,0
54,188,3529.54,18.77,179.04,31,resort,1,0
198,188,2413.98,12.84,115.55,4,restaurant,1,0
719,188,1623.8,8.64,150.39,7,public area,0,0
663,185,2578.03,13.94,130.06,11,company,1,0
99,185,2729.46,14.75,149.21,8,hotel,1,0
90,185,3135.39,16.95,161.5,9,public area,1,0
