StartDate,Sessions,TotalDemand,AverageDemand,AverageDuration,UniqueUsers,ActiveChargers
2021-09-30,19,579.19,30.48,292.37,11,19
2021-10-01,147,2467.59,16.79,154.76,65,109
2021-10-02,136,2087.75,15.35,142.8,53,97
2021-10-03,102,1928.25,18.9,168.12,46,77
2021-10-04,107,1768.66,16.53,160.83,41,80
2021-10-05,153,2530.86,16.54,152.65,65,112
2021-10-06,138,2300.17,16.67,148.3,52,102
2021-10-07,142,2113.15,14.88,124.15,60,107
2021-10-08,121,2266.41,18.73,173.6,50,95
2021-10-09,101,1688.26,16.72,135.51,45,87
2021-10-10,113,1778.17,15.74,145.18,44,94
2021-10-11,141,2157.08,15.3,134.96,50,101
2021-10-12,131,2017.57,15.4,140.27,50,107
2021-10-13,146,2582.1,17.69,155.05,52,116
2021-10-14,126,2323.78,18.44,171.53,47,94
2021-10-15,131,2079.5,15.87,126.63,51,101
2021-10-16,109,1755.11,16.1,143.5,48,89
2021-10-17,131,2096.97,16.01,140.51,50,89
2021-10-18,137,2421.27,17.67,146.97,56,111
2021-10-19,119,1729.23,14.53,130.7,53,93
2021-10-20,113,1619.44,14.33,125.26,55,95
2021-10-21,140,1980.87,14.15,125.76,51,109
2021-10-22,131,2304.45,17.59,158.14,55,108
2021-10-23,134,1990.33,14.85,122.93,53,101
2021-10-24,111,2028.03,18.27,162.38,47,88
2021-10-25,139,2322.8,16.71,149.72,62,106
2021-10-26,121,1809.79,14.96,143.74,53,96
2021-10-27,115,1989.29,17.3,152.28,44,88
2021-10-28,133,2340.93,17.6,158.35,51,94
2021-10-29,134,2497.84,18.64,168.16,53,104
2021-10-30,119,1993.72,16.75,158.76,56,98
2021-10-31,109,1964.11,18.02,163.1,46,83
2021-11-01,151,2831.85,18.75,154.95,65,114
2021-11-02,130,2187.47,16.83,149.4,62,99
2021-11-03,155,2585.67,16.68,158.63,70,120
2021-11-04,146,2535.67,17.37,148.32,58,121
2021-11-05,138,2288.63,16.58,143.64,59,110
2021-11-06,137,2292.13,16.73,152.37,60,114
2021-11-07,123,2035.04,16.55,136.1,46,95
2021-11-08,117,2260.34,19.32,169.16,52,86
2021-11-09,148,2391.38,16.16,144.23,73,117
2021-11-10,152,2483.53,16.34,144.93,64,114
2021-11-11,153,2481.17,16.22,137.37,67,122
2021-11-12,146,2535.37,17.37,169.04,48,106
2021-11-13,131,2288.48,17.47,145.65,48,113
2021-11-14,128,2204.64,17.22,158.38,53,101
2021-11-15,147,2677.29,18.21,172.12,72,109
2021-11-16,157,2405.71,15.32,141.59,56,117
2021-11-17,142,2523.64,17.77,163.25,65,111
2021-11-18,150,2321.28,15.48,140.59,56,118
2021-11-19,169,2516.71,14.89,136.01,76,130
2021-11-20,144,2398.22,16.65,152.03,44,109
2021-11-21,119,2027.01,17.03,161.41,43,96
2021-11-22,141,2372.71,16.83,163.79,57,115
2021-11-23,188,2973.93,15.82,145.76,73,132
2021-11-24,148,2590.11,17.5,163.59,63,115
2021-11-25,133,2257.32,16.97,165.66,54,107
2021-11-26,145,2326.09,16.04,144.93,61,115
2021-11-27,120,2136.44,17.8,167.65,48,95
2021-11-28,117,1926.46,16.47,159.87,45,88
2021-11-29,167,2720.44,16.29,137.13,66,131
2021-11-30,139,2166.82,15.59,142.37,59,106
2021-12-01,190,3521.66,18.54,166.94,69,142
2021-12-02,188,3287.47,17.49,160.18,87,144
2021-12-03,136,2243.66,16.5,154.65,66,113
2021-12-04,137,2358.48,17.22,150.79,51,104
2021-12-05,145,2936.6,20.25,191.31,49,104
2021-12-06,153,2344.82,15.33,149.15,66,113
2021-12-07,169,2823.16,16.71,157.46,72,126
2021-12-08,160,2760.54,17.25,154.67,66,117
2021-12-09,177,3217.22,18.18,172.66,72,140
2021-12-10,164,2940.42,17.93,158.14,66,122
2021-12-11,136,2307.58,16.97,153.65,48,96
2021-12-12,134,2298.71,17.15,159.52,47,94
2021-12-13,165,2886.79,17.5,177.63,58,121
2021-12-14,165,2726.04,16.52,162.82,57,117
2021-12-15,164,2995.42,18.26,172.37,59,118
2021-12-16,150,2730.77,18.21,180.54,58,116
2021-12-17,173,3338.11,19.3,182.27,55,120
2021-12-18,156,2425.96,15.55,148.62,46,113
2021-12-19,121,2380.59,19.67,193.25,39,93
2021-12-20,151,2469.79,16.36,162.15,62,118
2021-12-21,144,2321.02,16.12,145.47,58,106
2021-12-22,157,2799.13,17.83,172.03,59,118
2021-12-23,164,2926.44,17.84,164.98,65,133
2021-12-24,158,2603.75,16.48,157.97,66,120
2021-12-25,136,2170.95,15.96,151.99,41,96
2021-12-26,98,1828.04,18.65,178.5,31,71
2021-12-27,149,2723.56,18.28,159.47,58,118
2021-12-28,184,3414.38,18.56,169.08,73,133
2021-12-29,164,2909.78,17.74,164.05,66,115
2021-12-30,175,2813.51,16.08,154.58,64,125
2021-12-31,195,3653.74,18.74,166.86,72,137
2022-01-01,205,3434.97,16.76,144.82,94,154
