StartHour,Sessions,TotalDemand,AverageDemand,AverageDuration
0,919,24396.87,26.55,256.75
1,449,11368.29,25.32,246.35
2,200,5007.37,25.04,245.48
3,134,2713.46,20.25,208.29
4,190,3469.31,18.26,170.74
5,549,9467.91,17.25,148.45
6,1214,20619.98,16.99,148.21
7,2291,38513.69,16.81,134.63
8,4143,72574.42,17.52,146.15
9,4056,58440.79,14.41,119.82
10,3307,44382.51,13.42,100.65
11,3176,43543.62,13.71,92.75
12,3856,51707.11,13.41,100.53
13,3775,51730.73,13.7,104.95
14,3892,54823.63,14.09,102.71
15,4211,59179.1,14.05,106.58
16,5143,79996.26,15.55,129.09
17,6355,107954.14,16.99,152.52
18,6506,119316.29,18.34,170.21
19,5504,110087.22,20.0,190.15
20,4760,102569.92,21.55,207.46
21,3979,90909.38,22.85,209.62
22,2433,57898.62,23.8,226.79
23,1784,49441.48,27.71,266.32
