Location,Sessions,TotalDemand,AverageDemand,AverageDuration,UniqueUsers,ActiveChargers
apartment,14036,263103.12,18.74,204.89,328,281
public area,14076,251958.87,17.9,133.16,873,437
resort,8854,153004.54,17.28,170.97,648,138
hotel,8598,126416.1,14.7,146.83,617,133
company,7557,122786.43,16.25,150.99,353,141
public institution,7023,122195.41,17.4,120.24,619,402
public parking lot,3394,58334.41,17.19,50.15,531,205
market,2988,49320.74,16.51,97.44,405,105
camping,1630,41606.22,25.53,243.63,42,8
restaurant,2222,39580.76,17.81,156.57,297,117
sightseeing,1203,18339.89,15.25,63.98,429,118
golf,1029,17203.13,16.72,162.21,68,24
accommodation,187,5433.44,29.06,267.28,4,2
bus garage,29,829.04,28.59,30.62,16,7
