Year,Month,Sessions,TotalDemand,AverageDemand,AverageDuration,UniqueUsers,ActiveChargers
2021,9,19,579.19,30.48,292.37,11,19
2021,10,3930,64933.48,16.52,147.58,373,487
2021,11,4281,71741.55,16.76,151.8,401,517
2021,12,4858,85158.09,17.53,164.23,428,500
2022,1,6305,109639.33,17.39,154.65,578,894
2022,2,5837,103141.96,17.67,151.04,586,942
2022,3,5944,103896.05,17.48,146.07,577,935
2022,4,6001,104253.67,17.37,145.46,561,949
2022,5,6688,115283.83,17.24,144.14,638,1040
2022,6,6729,117564.42,17.47,146.97,657,1097
2022,7,7888,139686.65,17.71,151.38,723,1194
2022,8,8083,143041.27,17.7,159.12,808,1219
2022,9,6263,111192.61,17.75,151.45,665,1055
