UserID,Sessions,TotalDemand,AverageDemand,AverageDuration,UniqueChargers,UniqueLocations
0,31553,524813.04,16.63,162.17,309,12
31,353,1960.46,5.55,98.59,36,7
95,348,9621.97,27.65,247.81,12,4
179,341,2126.46,6.24,165.86,12,6
40,323,2516.61,7.79,136.63,51,11
36,300,5440.75,18.14,156.19,4,2
1219,279,2973.14,10.66,37.95,32,7
74,244,2590.25,10.62,24.74,65,7
86,236,1626.02,6.89,177.18,17,6
15,217,1854.88,8.55,152.66,10,6
362,216,3286.59,15.22,123.46,47,6
105,215,6635.13,30.86,285.49,5,1
720,215,4854.38,22.58,197.13,8,2
29,204,2341.62,11.48,104.6,6,1
75,204,3195.27,15.66,26.47,15,6
106,203,5159.18,25.41,232.39,11,3
71,200,3229.66,16.15,66.38,44,9
1319,199,2845.03,14.3,31.41,51,9
70,196,3347.81,17.08,189.31,5,1
30,195,5832.12,29.91,43.36,45,6
167,192,1680.05,8.75,25.38,30,5
68,191,665.63,3.48,11.12,24,6
301,185,2278.25,12.31,35.43,19,5
9,181,2311.62,12.77,31.77,27,6
304,180,1465.98,8.14,139.24,24,5
87,178,1727.6,9.71,83.55,13,2
132,174,1451.22,8.34,186.6,7,5
241,171,1804.64,10.55,230.67,14,5
4,171,2716.41,15.89,161.28,4,1
38,169,1042.3,6.17,409.93,6,3
627,167,1595.89,9.56,163.99,8,4
54,166,2325.68,14.01,146.76,7,3
812,163,4079.58,25.03,135.3,55,8
80,160,1223.25,7.65,24.43,20,4
443,157,1882.97,11.99,34.36,45,9
1365,154,4895.77,31.79,280.03,18,9
102,154,3728.16,24.21,429.25,2,1
270,153,4418.34,28.88,399.87,15,6
1228,153,1407.7,9.2,83.63,6,1
208,153,1528.67,9.99,35.89,25,4
194,149,2895.04,19.43,368.8,17,6
107,149,1477.11,9.91,382.62,7,2
41,146,2050.77,14.05,22.23,34,8
463,144,815.48,5.66,98.71,14,8
434,144,1505.41,10.45,88.55,10,3
1611,140,4385.9,31.33,272.52,11,5
88,140,1094.15,7.82,132.37,10,5
156,138,1260.15,9.13,28.72,39,7
123,138,1005.68,7.29,135.09,23,6
1225,137,1751.1,12.78,118.82,6,1
20,137,1600.93,11.69,114.27,5,1
169,136,3770.94,27.73,48.49,12,5
324,134,896.92,6.69,113.99,3,2
448,134,2367.25,17.67,49.55,29,9
76,132,1169.01,8.86,196.29,7,5
439,131,3422.41,26.13,186.65,33,7
79,130,1770.41,13.62,131.1,1,1
245,130,4201.19,32.32,282.83,21,4
161,128,1656.33,12.94,82.09,28,6
186,126,1862.72,14.78,221.13,21,7
160,126,1596.72,12.67,111.9,5,1
172,126,2361.4,18.74,209.83,13,3
8,125,1484.56,11.88,186.58,4,3
119,125,2959.55,23.68,31.25,23,6
127,123,1236.22,10.05,90.37,7,2
1221,122,1951.07,15.99,135.02,19,6
98,122,4022.78,32.97,329.05,2,1
356,121,1048.41,8.66,110.36,29,9
279,121,2413.87,19.95,32.71,11,5
260,120,2156.92,17.97,34.12,49,10
165,120,4484.43,37.37,376.48,4,3
152,119,758.3,6.37,27.21,19,7
268,119,2782.64,23.38,45.49,33,8
124,119,1705.26,14.33,123.72,17,5
150,118,2014.09,17.07,55.94,69,9
108,118,1244.21,10.54,175.86,13,5
73,118,1484.81,12.58,132.69,9,4
1257,118,4866.21,41.24,452.88,2,2
293,118,1819.1,15.42,92.87,23,8
266,117,1281.17,10.95,108.76,25,4
255,113,3265.51,28.9,298.07,12,2
1229,112,1519.7,13.57,36.04,38,8
283,112,2629.17,23.47,226.22,2,1
1350,111,3446.36,31.05,140.12,27,7
148,111,806.83,7.27,65.52,8,4
431,111,1458.22,13.14,35.62,38,8
133,109,1797.54,16.49,33.35,18,4
1,109,3912.6,35.9,334.22,15,4
1629,108,742.03,6.87,129.11,4,1
718,108,595.0,5.51,94.21,8,3
109,107,1716.59,16.04,136.92,7,3
83,107,3139.76,29.34,55.27,14,7
27,107,964.77,9.02,93.23,19,7
2132,107,1502.81,14.04,153.83,3,2
60,106,993.91,9.38,62.69,37,8
11,106,1560.36,14.72,36.87,24,5
63,105,2158.33,20.56,204.63,14,4
91,103,1887.23,18.32,42.63,20,8
370,103,3181.88,30.89,236.19,10,4
228,100,2163.17,21.63,40.93,28,5
92,98,2450.75,25.01,34.91,22,6
313,98,2457.61,25.08,42.23,10,6
280,97,3985.04,41.08,417.6,7,2
1230,95,1220.09,12.84,114.17,10,2
180,94,839.53,8.93,150.73,13,6
32,93,1624.82,17.47,141.26,10,3
44,93,1973.11,21.22,50.66,40,10
1446,92,1241.25,13.49,119.55,8,2
927,92,3156.9,34.31,344.88,2,1
236,91,2985.0,32.8,288.95,9,2
147,91,1678.2,18.44,34.19,44,9
251,90,1788.07,19.87,148.77,10,3
93,90,1455.98,16.18,152.6,16,3
55,89,1974.37,22.18,47.98,31,7
89,89,939.61,10.56,101.21,2,1
187,89,3380.8,37.99,361.89,2,1
285,89,1914.32,21.51,407.13,11,6
413,88,2069.58,23.52,34.02,22,6
291,88,2189.59,24.88,251.84,5,1
62,88,1203.31,13.67,26.86,3,3
1222,87,948.64,10.9,110.53,7,2
1764,86,651.62,7.58,129.29,6,2
1484,86,1494.57,17.38,208.26,6,2
125,86,1025.48,11.92,52.51,12,5
1410,85,552.95,6.51,120.06,6,2
28,84,1571.64,18.71,51.65,29,8
219,84,861.45,10.26,335.89,12,3
199,83,1250.73,15.07,183.53,5,1
317,83,3032.09,36.53,346.3,8,4
265,83,1752.61,21.12,99.16,57,10
64,82,960.97,11.72,92.68,13,5
1223,82,1207.26,14.72,133.95,11,3
227,82,1374.23,16.76,32.5,12,3
121,82,853.1,10.4,22.02,15,5
390,81,2205.15,27.22,227.16,8,6
466,80,2130.37,26.63,36.95,9,3
37,80,1581.02,19.76,46.35,22,8
403,79,2407.6,30.48,295.62,3,2
229,79,1390.96,17.61,148.52,5,1
424,78,2281.77,29.25,40.53,23,6
436,77,263.21,3.42,57.06,36,9
343,77,431.6,5.61,100.39,20,6
329,76,3648.91,48.01,396.7,9,4
135,76,2926.32,38.5,337.62,13,5
1185,76,2141.67,28.18,44.82,24,8
233,76,2851.43,37.52,438.99,2,1
396,75,928.7,12.38,67.72,44,8
103,75,2961.12,39.48,361.29,7,3
385,75,575.7,7.68,159.87,18,8
507,75,3191.03,42.55,355.11,8,2
100,75,1532.47,20.43,134.61,24,10
423,74,1438.45,19.44,42.23,29,4
240,74,3029.1,40.93,394.03,2,1
195,74,1469.66,19.86,176.12,6,1
1011,74,2582.44,34.9,223.18,30,10
112,74,604.88,8.17,156.3,14,4
401,73,1141.91,15.64,137.23,5,1
42,73,1011.3,13.85,121.66,5,1
452,73,1860.77,25.49,215.0,6,4
7,73,1428.98,19.58,237.88,7,3
146,73,1291.16,17.69,42.66,15,6
582,72,1300.2,18.06,34.96,19,4
391,72,2750.69,38.2,358.42,2,1
116,72,1715.84,23.83,54.28,36,7
383,72,821.02,11.4,120.58,6,2
912,71,1194.96,16.83,144.62,2,1
237,71,2302.69,32.43,301.72,9,4
422,71,3058.49,43.08,388.9,2,1
223,71,1137.47,16.02,174.49,1,1
18,70,1332.61,19.04,88.77,21,4
425,68,1205.47,17.73,99.85,19,6
115,68,1614.93,23.75,195.54,9,2
1453,68,279.26,4.11,73.0,18,9
191,67,647.49,9.66,170.57,14,5
61,67,1039.04,15.51,27.42,14,2
1326,67,2143.8,32.0,47.07,10,5
